Game_num,Date,Home_away,Team,Opponent,Game_type,Won,Team_pts,Opp_pts,Team_FG%,Team_3P%,Team_2P%,Team_eFG%,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opponent_FG%,Opponent_3P%,Opponent_2P%,Opponent_eFG%,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
3,2023-11-14,2,michigan-state,duke,REG (Non-Conf),0,65,74,0.413,0.316,0.455,0.46,0.583,10,19,29,12,5,6,12,23,0.449,0.273,0.593,0.51,0.8,8,25,33,17,6,5,13,16
4,2023-11-17,1,michigan-state,butler,REG (Non-Conf),1,74,54,0.475,0.35,0.538,0.534,0.733,10,29,39,15,9,3,10,19,0.288,0.28,0.296,0.356,0.708,8,21,29,8,4,3,12,17
5,2023-11-19,1,michigan-state,alcorn-state,REG (Non-Conf),1,81,49,0.526,0.4,0.625,0.614,0.524,9,27,36,24,7,9,9,18,0.262,0.278,0.256,0.303,0.6,12,24,36,9,5,1,11,17
6,2023-11-23,2,michigan-state,arizona,REG (Non-Conf),0,68,74,0.406,0.294,0.447,0.445,0.786,9,23,32,10,6,2,9,17,0.458,0.263,0.55,0.5,0.75,9,22,31,13,8,5,10,18
7,2023-11-28,1,michigan-state,georgia-southern,REG (Non-Conf),1,86,55,0.517,0.278,0.619,0.558,0.633,14,30,44,23,8,4,15,12,0.4,0.24,0.533,0.455,0.556,3,20,23,8,10,5,20,24
8,2023-12-05,1,michigan-state,wisconsin,REG (Conf),0,57,70,0.451,0.316,0.531,0.51,0.714,5,17,22,15,5,5,7,14,0.451,0.435,0.464,0.549,1.0,11,24,35,17,5,2,10,12
9,2023-12-10,0,michigan-state,nebraska,REG (Conf),0,70,77,0.443,0.471,0.432,0.508,0.889,6,21,27,14,5,2,9,13,0.5,0.435,0.548,0.593,0.867,4,24,28,16,5,4,8,11
10,2023-12-16,2,michigan-state,baylor,REG (Non-Conf),1,88,64,0.633,0.667,0.622,0.714,0.643,7,20,27,18,15,6,14,21,0.479,0.316,0.586,0.542,0.632,4,10,14,13,8,0,18,24
11,2023-12-18,1,michigan-state,oakland,REG (Non-Conf),1,79,62,0.492,0.429,0.526,0.568,0.75,12,22,34,23,5,5,8,12,0.365,0.31,0.412,0.437,0.7,12,17,29,12,5,2,8,14
12,2023-12-21,1,michigan-state,stony-brook,REG (Non-Conf),1,99,55,0.594,0.387,0.788,0.688,0.647,6,38,44,33,6,7,11,9,0.291,0.194,0.354,0.329,0.5,11,23,34,7,9,0,11,17
13,2023-12-30,1,michigan-state,indiana-state,REG (Non-Conf),1,87,75,0.475,0.353,0.523,0.525,0.852,15,24,39,17,7,6,11,19,0.439,0.4,0.5,0.561,0.647,7,19,26,15,9,0,12,22
14,2024-01-04,1,michigan-state,penn-state,REG (Conf),1,92,61,0.563,0.476,0.605,0.641,0.769,7,28,35,25,13,3,12,17,0.323,0.103,0.515,0.347,0.818,11,21,32,10,4,5,15,16
15,2024-01-07,0,michigan-state,northwestern,REG (Conf),0,74,88,0.481,0.474,0.485,0.567,0.682,8,18,26,16,3,3,13,19,0.542,0.391,0.639,0.619,0.833,8,19,27,22,7,3,4,20
16,2024-01-11,0,michigan-state,illinois,REG (Conf),0,68,71,0.42,0.263,0.48,0.457,0.714,12,22,34,10,4,4,7,15,0.418,0.333,0.471,0.482,0.818,7,24,31,11,3,6,7,10
17,2024-01-14,1,michigan-state,rutgers,REG (Conf),1,73,55,0.455,0.48,0.433,0.564,0.733,8,28,36,19,4,3,8,16,0.37,0.389,0.361,0.435,0.615,5,23,28,13,1,2,7,17
